23/016	2023-02-14	3,13,19,32,33,39	24	13	139	23	5 / 1	1	2	0	3	0
23/015	2023-02-11	13,18,22,29,34,41	23	13,29	157	26	3 / 3	0	2	2	1	1
23/014	2023-02-09	1,9,13,27,29,40	20	13	119	20	5 / 1	2	1	2	1	0
23/013	2023-02-07	4,11,13,14,30,37	20	14	109	18	3 / 3	1	3	1	1	0
23/012	2023-02-04	14,18,25,29,31,42	6		159	27	3 / 3	0	2	2	1	1
23/011	2023-02-02	2,8,23,33,34,35	43	2	135	23	3 / 3	2	0	1	3	0
23/010	2023-01-28	2,12,16,38,45,46	14	2	159	27	1 / 5	1	2	0	1	2
23/009	2023-01-26	2,3,23,31,32,43	40		134	22	4 / 2	2	0	1	2	1
23/008	2023-01-19	17,25,27,29,36,49	23	29	183	31	5 / 1	0	1	3	1	1
23/007	2023-01-17	10,15,29,34,38,47	18	38	173	29	3 / 3	1	1	1	2	1
23/006	2023-01-14	3,5,16,26,35,38	9	26	123	21	3 / 3	2	1	1	2	0
23/005	2023-01-12	6,22,26,27,40,45	13		166	28	2 / 4	1	0	3	1	1
23/004	2023-01-10	2,21,24,29,35,47	18		158	26	4 / 2	1	0	3	1	1
23/003	2023-01-07	10,31,33,34,43,49	40	34,49	200	33	4 / 2	1	0	0	3	2
23/002	2023-01-05	5,9,19,34,36,49	23		152	25	4 / 2	2	1	0	2	1
23/001	2023-01-03	7,20,25,27,35,43	1		157	26	5 / 1	1	1	2	1	1
22/111	2022-12-29	1,2,21,33,41,45	4	45	143	24	5 / 1	2	0	1	1	2
22/110	2022-12-27	5,13,18,32,39,45	44	18,39	152	25	4 / 2	1	2	0	2	1
22/109	2022-12-25	2,7,11,14,18,39	29	18	91	15	3 / 3	2	3	0	1	0
22/108	2022-12-22	16,18,19,33,41,46	37	41	173	29	3 / 3	0	3	0	1	2
22/107	2022-12-20	28,36,37,38,41,45	42		225	38	3 / 3	0	0	1	3	2
22/106	2022-12-17	6,14,15,26,35,40	8	26	136	23	2 / 4	1	2	1	2	0
22/105	2022-12-15	5,7,18,26,31,45	30	45	132	22	4 / 2	2	1	1	1	1
22/104	2022-12-13	12,38,39,40,45,49	10	12,39,49	223	37	3 / 3	0	1	0	3	2
22/103	2022-12-10	6,12,20,25,39,49	7	39	151	25	3 / 3	1	2	1	1	1
22/102	2022-12-08	17,19,35,39,44,46	21	17,44,46	200	33	4 / 2	0	2	0	2	2
22/101	2022-12-06	6,11,17,30,44,46	5		154	26	2 / 4	1	2	1	0	2
22/100	2022-12-03	2,15,31,34,38,41	21		161	27	3 / 3	1	1	0	3	1
22/099	2022-12-01	14,18,27,32,39,42	43	18	172	29	2 / 4	0	2	1	2	1
22/098	2022-11-29	12,18,22,28,31,40	7	28	151	25	1 / 5	0	2	2	2	0
22/097	2022-11-26	14,25,28,29,43,44	10	14,25,28	183	31	3 / 3	0	1	3	0	2
22/096	2022-11-24	3,12,14,19,25,28	11		101	17	3 / 3	1	3	2	0	0
22/095	2022-11-22	6,10,11,13,32,46	39	6,11,46	118	20	2 / 4	2	2	0	1	1
22/094	2022-11-19	6,11,27,39,46,47	15	27	176	29	4 / 2	1	1	1	1	2
22/093	2022-11-17	1,9,27,32,33,35	45	32	137	23	5 / 1	2	0	1	3	0
22/092	2022-11-15	17,18,32,38,44,49	19	18	198	33	2 / 4	0	2	0	2	2
22/091	2022-11-13	5,12,18,19,26,33	46	12,18	113	19	3 / 3	1	3	1	1	0
22/090	2022-11-10	11,12,14,18,29,30	31		114	19	2 / 4	0	4	2	0	0
22/089	2022-11-08	10,20,27,32,38,46	4	32	173	29	1 / 5	1	1	1	2	1
22/088	2022-11-05	7,11,22,23,28,32	29		123	21	3 / 3	1	1	3	1	0
22/087	2022-11-03	10,13,19,21,27,49	35		139	23	5 / 1	1	2	2	0	1
22/086	2022-11-01	2,12,14,32,41,46	20	12	147	25	1 / 5	1	2	0	1	2
22/085	2022-10-29	4,5,12,15,28,29	20	28	93	16	3 / 3	2	2	2	0	0
22/084	2022-10-25	27,28,30,34,35,48	11		202	34	2 / 4	0	0	3	2	1
22/083	2022-10-22	12,15,16,42,44,45	4		174	29	2 / 4	0	3	0	0	3
22/082	2022-10-20	20,24,27,31,32,49	36		183	31	3 / 3	0	1	2	2	1
22/081	2022-10-18	7,25,26,39,44,45	46	25,44	186	31	4 / 2	1	0	2	1	2
22/080	2022-10-15	18,21,25,28,38,44	45	38	174	29	2 / 4	0	1	3	1	1
22/079	2022-10-13	1,10,14,38,47,48	40	1,10,47	158	26	2 / 4	2	1	0	1	2
22/078	2022-10-11	1,5,10,25,36,47	23		124	21	4 / 2	3	0	1	1	1
22/077	2022-10-08	7,11,28,31,43,48	42	11,28,31	168	28	4 / 2	1	1	1	1	2
22/076	2022-10-06	4,11,21,28,31,47	5		142	24	4 / 2	1	1	2	1	1
22/075	2022-10-04	7,8,12,13,26,43	3	7	109	18	3 / 3	2	2	1	0	1
22/074	2022-10-02	1,7,11,24,27,38	17		108	18	4 / 2	2	1	2	1	0
22/073	2022-09-29	6,8,18,36,37,44	30	18	149	25	1 / 5	2	1	0	2	1
22/072	2022-09-27	2,18,29,30,32,47	46	29	158	26	2 / 4	1	1	2	1	1
22/071	2022-09-24	4,6,10,27,29,46	17		122	20	2 / 4	3	0	2	0	1
22/070	2022-09-22	8,11,31,32,33,36	46	31	151	25	3 / 3	1	1	0	4	0
22/069	2022-09-20	4,7,14,18,27,31	48		101	17	3 / 3	2	2	1	1	0
